<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Arya.Sasol.Polymer,20220813,71750.00,72750.00,71650.00,72150.00,77273035650,1069310,1789,D,71750.00,72500.00
Arya.Sasol.Polymer,20220810,71800.00,71950.00,71500.00,71750.00,50343688200,701910,1251,D,71750.00,71750.00
Arya.Sasol.Polymer,20220809,71850.00,72200.00,71550.00,71750.00,63889429000,890008,1427,D,71700.00,71800.00
Arya.Sasol.Polymer,20220806,71650.00,72300.00,71500.00,71700.00,59378553450,826556,1851,D,71500.00,71900.00
Arya.Sasol.Polymer,20220803,71200.00,72000.00,71200.00,71500.00,69095104350,963736,1639,D,71150.00,71700.00
Arya.Sasol.Polymer,20220802,71050.00,72050.00,70650.00,71150.00,67282861900,944628,1258,D,71050.00,71250.00
Arya.Sasol.Polymer,20220801,70450.00,72050.00,70450.00,71050.00,46015141050,644607,1317,D,70800.00,71200.00
Arya.Sasol.Polymer,20220731,70000.00,71900.00,68750.00,70800.00,131325429650,1855530,2444,D,70800.00,71000.00
Arya.Sasol.Polymer,20220730,71500.00,71950.00,70450.00,70800.00,101715691400,1436871,2237,D,70600.00,70600.00
Arya.Sasol.Polymer,20220727,69800.00,71350.00,69800.00,70600.00,101007507950,1430727,2255,D,69300.00,71050.00
Arya.Sasol.Polymer,20220726,68150.00,70400.00,68150.00,69300.00,172310463550,2486201,2558,D,69200.00,69400.00
Arya.Sasol.Polymer,20220725,71600.00,71600.00,67500.00,69200.00,188860078900,2728219,4833,D,70850.00,68100.00
Arya.Sasol.Polymer,20220724,72100.00,72150.00,70200.00,70850.00,162633650600,2295753,3147,D,72200.00,70300.00
Arya.Sasol.Polymer,20220723,72300.00,74100.00,71650.00,72200.00,88487462800,1225625,2888,D,72350.00,72000.00
Arya.Sasol.Polymer,20220720,73000.00,74000.00,71800.00,72350.00,134769639400,1862515,3198,D,73450.00,72750.00
Arya.Sasol.Polymer,20220719,73700.00,73800.00,71500.00,73450.00,70480089450,959809,1819,D,72650.00,73400.00
Arya.Sasol.Polymer,20220717,73050.00,73050.00,72250.00,72650.00,87099574800,1199263,2174,D,74200.00,72850.00
Arya.Sasol.Polymer,20220716,73850.00,75300.00,73300.00,74200.00,97823676550,1318138,2676,D,73850.00,73350.00
Arya.Sasol.Polymer,20220713,72000.00,74600.00,72000.00,73850.00,111215745600,1505954,2592,D,71700.00,73900.00
Arya.Sasol.Polymer,20220712,71850.00,72900.00,70100.00,71700.00,129576916150,1806930,3511,D,72500.00,72500.00
Arya.Sasol.Polymer,20220711,74250.00,74500.00,71700.00,72500.00,203424826800,2806766,5502,D,75000.00,71950.00
Arya.Sasol.Polymer,20220709,75000.00,75950.00,74300.00,75000.00,107708713550,1436060,3060,D,75500.00,74550.00
Arya.Sasol.Polymer,20220706,75700.00,76300.00,75100.00,75500.00,87334764300,1157062,2688,D,75950.00,75200.00
Arya.Sasol.Polymer,20220705,76200.00,76700.00,75700.00,75950.00,117840961050,1551563,2900,D,76350.00,75750.00
Arya.Sasol.Polymer,20220704,76200.00,77000.00,76100.00,76350.00,88833710950,1163843,2262,D,76250.00,76250.00
Arya.Sasol.Polymer,20220703,76550.00,76950.00,75450.00,76250.00,118857697250,1558869,2768,D,76550.00,76450.00
Arya.Sasol.Polymer,20220702,77600.00,77600.00,76200.00,76550.00,105688731700,1381005,3039,D,77750.00,76550.00
Arya.Sasol.Polymer,20220629,77650.00,78600.00,76700.00,77750.00,88432632350,1137219,1915,D,77950.00,77800.00
Arya.Sasol.Polymer,20220628,78150.00,78800.00,77600.00,77950.00,156895150350,2012632,2243,D,77500.00,78000.00
Arya.Sasol.Polymer,20220627,77000.00,78100.00,76500.00,77500.00,248936779550,3211266,3256,D,77550.00,78000.00
Arya.Sasol.Polymer,20220626,76900.00,78100.00,76500.00,77550.00,104534095000,1347881,2492,D,77900.00,77700.00
Arya.Sasol.Polymer,20220625,78100.00,78550.00,76950.00,77900.00,154103126150,1978511,3377,D,78450.00,77100.00
Arya.Sasol.Polymer,20220622,78950.00,79500.00,77950.00,78450.00,100349746850,1279487,3158,D,79500.00,78150.00
Arya.Sasol.Polymer,20220621,81400.00,81400.00,78950.00,79500.00,62088975050,781024,2119,D,79850.00,79100.00
Arya.Sasol.Polymer,20220620,78600.00,81200.00,78600.00,79850.00,120156827050,1505148,2734,D,78900.00,81050.00
Arya.Sasol.Polymer,20220619,78600.00,79350.00,77650.00,78900.00,118517785000,1502073,2779,D,78900.00,79350.00
Arya.Sasol.Polymer,20220618,80550.00,80550.00,77900.00,78900.00,151756695050,1923474,3649,D,81150.00,78950.00
Arya.Sasol.Polymer,20220615,83000.00,83000.00,80950.00,81150.00,116841898900,1439562,2610,D,82550.00,81500.00
Arya.Sasol.Polymer,20220614,82950.00,83400.00,81650.00,82550.00,207791227400,2516903,3956,D,82950.00,83000.00
Arya.Sasol.Polymer,20220613,83850.00,83850.00,81400.00,82950.00,275289392950,3317910,4491,D,79900.00,82700.00
Arya.Sasol.Polymer,20220612,78500.00,80900.00,77550.00,79900.00,169521480900,2121358,3611,D,78050.00,80500.00
Arya.Sasol.Polymer,20220611,79000.00,79000.00,76850.00,78050.00,140287353600,1797632,3140,D,78150.00,78150.00
Arya.Sasol.Polymer,20220608,77950.00,78700.00,77950.00,78150.00,103639056050,1325760,2711,D,77950.00,78050.00
Arya.Sasol.Polymer,20220607,76400.00,79200.00,76400.00,77950.00,148412684800,1903988,3846,D,76900.00,77650.00
Arya.Sasol.Polymer,20220606,77500.00,78150.00,76400.00,76900.00,239082904750,3109468,5638,D,80400.00,76600.00
Arya.Sasol.Polymer,20220601,81750.00,81750.00,80000.00,80400.00,107567270400,1337760,2930,D,82000.00,80300.00
Arya.Sasol.Polymer,20220531,82100.00,82500.00,81250.00,82000.00,175495916300,2140374,3826,D,81200.00,81750.00
Arya.Sasol.Polymer,20220530,80000.00,82300.00,79050.00,81200.00,309636821600,3812264,5868,D,79050.00,81900.00
Arya.Sasol.Polymer,20220529,79000.00,80100.00,78300.00,79050.00,160901933800,2034932,3766,D,78900.00,79850.00
Arya.Sasol.Polymer,20220528,79400.00,79550.00,78500.00,78900.00,170651074550,2162538,3684,D,79400.00,79150.00
Arya.Sasol.Polymer,20220525,79700.00,80800.00,78950.00,79400.00,153847970450,1937135,4196,D,79100.00,79550.00
Arya.Sasol.Polymer,20220524,79000.00,79500.00,78200.00,79100.00,161837528600,2046370,3515,D,79150.00,79250.00
Arya.Sasol.Polymer,20220523,80150.00,80900.00,77600.00,79150.00,220746108100,2788500,4376,D,79900.00,79200.00
Arya.Sasol.Polymer,20220522,79800.00,80150.00,79650.00,79900.00,178737008550,2236497,3619,D,79800.00,80100.00
Arya.Sasol.Polymer,20220521,80000.00,81000.00,79050.00,79800.00,143417447950,1797367,3975,D,80700.00,79850.00
Arya.Sasol.Polymer,20220518,80000.00,81150.00,79900.00,80700.00,141531489350,1753534,4430,D,81400.00,80850.00
Arya.Sasol.Polymer,20220517,81250.00,82000.00,80050.00,81400.00,277722450000,3412691,5229,D,81400.00,81150.00
Arya.Sasol.Polymer,20220516,80700.00,82900.00,80100.00,81400.00,202052529950,2481527,6369,D,79450.00,81250.00
Arya.Sasol.Polymer,20220515,80650.00,81200.00,78650.00,79450.00,264136709250,3324316,7706,D,81200.00,80250.00
Arya.Sasol.Polymer,20220514,82000.00,83000.00,80750.00,81200.00,350553354050,4317857,8146,D,82150.00,80900.00
Arya.Sasol.Polymer,20220511,80800.00,83350.00,80800.00,82150.00,251689256700,3062887,6297,D,82000.00,81850.00
Arya.Sasol.Polymer,20220510,81000.00,83750.00,80250.00,82000.00,165191749450,2014084,4931,D,82200.00,82900.00
Arya.Sasol.Polymer,20220509,85750.00,85750.00,81700.00,82200.00,634445990450,7718342,12491,D,86000.00,81750.00
Arya.Sasol.Polymer,20220508,85400.00,87250.00,84900.00,86000.00,292646836650,3403165,6715,D,84500.00,85200.00
Arya.Sasol.Polymer,20220507,83000.00,85400.00,82500.00,84500.00,315311224250,3730617,7449,D,81600.00,85100.00
Arya.Sasol.Polymer,20220502,83750.00,83750.00,80650.00,81600.00,440646013750,5399423,12153,D,83900.00,82450.00
Arya.Sasol.Polymer,20220501,85800.00,85800.00,83000.00,83900.00,238870437500,2846795,6292,D,86650.00,83750.00
Arya.Sasol.Polymer,20220426,87000.00,88850.00,84900.00,86650.00,752684056150,8688769,14709,D,88600.00,86850.00
Arya.Sasol.Polymer,20220425,89800.00,89800.00,86500.00,88600.00,514185001250,5802139,6662,D,89800.00,87400.00
