<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Hormozgan.Co.,20220817,10980.00,11200.00,10890.00,11190.00,9463063510,857681,445,D,11200.00,11060.00
Hormozgan.Co.,20220816,10980.00,11150.00,10920.00,11200.00,11912515260,1083552,526,D,11220.00,10920.00
Hormozgan.Co.,20220815,11020.00,11180.00,11000.00,11220.00,10245929600,924268,348,D,11230.00,11090.00
Hormozgan.Co.,20220814,11450.00,11450.00,10970.00,11230.00,18790111040,1695203,482,D,11260.00,11180.00
Hormozgan.Co.,20220813,10900.00,11590.00,10900.00,11260.00,26342405100,2325298,656,D,11240.00,11390.00
Hormozgan.Co.,20220810,11060.00,11240.00,10880.00,11240.00,14418815950,1313165,484,D,11280.00,10990.00
Hormozgan.Co.,20220809,11490.00,11500.00,11050.00,11280.00,13417236560,1197777,418,D,11290.00,11100.00
Hormozgan.Co.,20220806,11580.00,11580.00,11270.00,11290.00,12587397800,1101772,445,D,11270.00,11300.00
Hormozgan.Co.,20220803,11350.00,11480.00,11260.00,11270.00,8593901490,757164,297,D,11260.00,11330.00
Hormozgan.Co.,20220802,11210.00,11410.00,10850.00,11260.00,15486563950,1377804,431,D,11260.00,11270.00
Hormozgan.Co.,20220801,11300.00,11390.00,11200.00,11260.00,16428772460,1455629,411,D,11250.00,11220.00
Hormozgan.Co.,20220731,11000.00,11340.00,10840.00,11250.00,27359894070,2468845,624,D,11310.00,11240.00
Hormozgan.Co.,20220730,11390.00,11400.00,11000.00,11310.00,21788414620,1950436,537,D,11340.00,11050.00
Hormozgan.Co.,20220727,11110.00,11400.00,11100.00,11340.00,26667695200,2359372,577,D,11350.00,11220.00
Hormozgan.Co.,20220726,11280.00,11440.00,11080.00,11350.00,49418962670,4373092,815,D,11390.00,11080.00
Hormozgan.Co.,20220725,11370.00,11370.00,10940.00,11390.00,24980109270,2255587,707,D,11480.00,11050.00
Hormozgan.Co.,20220724,11750.00,11830.00,11150.00,11480.00,78440701570,6891033,1642,D,11720.00,11200.00
Hormozgan.Co.,20220723,11710.00,11850.00,11710.00,11720.00,230359799170,19652123,2988,D,12320.00,11730.00
Hormozgan.Co.,20220720,12140.00,12140.00,11880.00,12320.00,14604132500,1214164,464,D,12360.00,11990.00
Hormozgan.Co.,20220719,12070.00,12190.00,11950.00,12360.00,14160271410,1174956,495,D,12400.00,12040.00
Hormozgan.Co.,20220717,12060.00,12220.00,11930.00,12400.00,29863172710,2494901,810,D,12550.00,11950.00
Hormozgan.Co.,20220716,12330.00,12460.00,12050.00,12550.00,26621029940,2189370,774,D,12670.00,12050.00
Hormozgan.Co.,20220713,12510.00,12770.00,12330.00,12670.00,24455147830,1948606,634,D,12700.00,12350.00
Hormozgan.Co.,20220712,12790.00,12890.00,12330.00,12700.00,44405686430,3547955,847,D,12820.00,12480.00
Hormozgan.Co.,20220711,12510.00,13170.00,12510.00,12820.00,38836599660,3042946,596,D,12850.00,12610.00
Hormozgan.Co.,20220709,12500.00,12960.00,12430.00,12850.00,44038394070,3477779,575,D,12970.00,12580.00
Hormozgan.Co.,20220706,12820.00,13000.00,12480.00,12970.00,29482462310,2330733,656,D,13080.00,12710.00
Hormozgan.Co.,20220705,12760.00,13380.00,12760.00,13080.00,26321018220,2014097,449,D,13080.00,12990.00
Hormozgan.Co.,20220704,12800.00,13270.00,12800.00,13080.00,28118462610,2157261,376,D,13100.00,12880.00
Hormozgan.Co.,20220703,12710.00,13250.00,12580.00,13100.00,89836632410,6875576,699,D,13200.00,13010.00
Hormozgan.Co.,20220702,13100.00,13120.00,12700.00,13200.00,35296196130,2744711,807,D,13350.00,12720.00
Hormozgan.Co.,20220629,13230.00,13480.00,12900.00,13350.00,42932688930,3245450,642,D,13430.00,13300.00
Hormozgan.Co.,20220628,13440.00,13540.00,13260.00,13430.00,27261194440,2033187,503,D,13440.00,13400.00
Hormozgan.Co.,20220627,13070.00,13610.00,12900.00,13440.00,41875357060,3130371,631,D,13480.00,13400.00
Hormozgan.Co.,20220626,13260.00,13500.00,13080.00,13480.00,49071104740,3738301,786,D,13750.00,13130.00
Hormozgan.Co.,20220625,13990.00,13990.00,13260.00,13750.00,27434217040,2044286,1615,D,13850.00,13350.00
Hormozgan.Co.,20220622,13800.00,14000.00,13500.00,13850.00,28462680680,2055922,517,D,13850.00,13850.00
Hormozgan.Co.,20220621,13890.00,14000.00,13450.00,13850.00,34117728690,2485729,717,D,13900.00,13560.00
