<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Omid.Inv..Mng.,20220817,12800.00,13030.00,12520.00,12910.00,21210535500,1652164,158,D,12920.00,12650.00
Omid.Inv..Mng.,20220816,12680.00,13170.00,12520.00,12920.00,29722957170,2308432,205,D,12940.00,12960.00
Omid.Inv..Mng.,20220815,12640.00,13030.00,12640.00,12940.00,39870940190,3082623,201,D,12940.00,13010.00
Omid.Inv..Mng.,20220814,12760.00,12900.00,12650.00,12940.00,3053745700,239786,71,D,12950.00,12900.00
Omid.Inv..Mng.,20220813,12940.00,13220.00,12700.00,12950.00,25902570170,1996284,205,D,12940.00,13020.00
Omid.Inv..Mng.,20220810,12560.00,13000.00,12510.00,12940.00,21774636420,1700261,134,D,12970.00,12960.00
Omid.Inv..Mng.,20220809,12590.00,13050.00,12590.00,12970.00,16871003130,1304045,103,D,12980.00,12920.00
Omid.Inv..Mng.,20220806,12730.00,13190.00,12730.00,12980.00,42714974470,3285459,207,D,12970.00,13080.00
Omid.Inv..Mng.,20220803,12960.00,13140.00,12700.00,12970.00,125700955040,9693028,451,D,12960.00,12960.00
Omid.Inv..Mng.,20220802,12600.00,13110.00,12600.00,12960.00,76390199280,5888889,292,D,12950.00,12990.00
Omid.Inv..Mng.,20220801,12630.00,12980.00,12610.00,12950.00,40373685610,3147072,323,D,13020.00,12980.00
Omid.Inv..Mng.,20220731,12650.00,13080.00,12560.00,13020.00,34735302240,2713149,216,D,13110.00,12890.00
Omid.Inv..Mng.,20220730,12630.00,13200.00,12630.00,13110.00,51425871440,3953879,311,D,13190.00,13000.00
Omid.Inv..Mng.,20220727,12750.00,13100.00,12750.00,13190.00,6480224470,499496,97,D,13200.00,12940.00
Omid.Inv..Mng.,20220726,13140.00,13290.00,12590.00,13200.00,71893364870,5461469,346,D,13270.00,12910.00
Omid.Inv..Mng.,20220725,12840.00,13300.00,12620.00,13270.00,15268838450,1190224,209,D,13340.00,12620.00
Omid.Inv..Mng.,20220724,13630.00,13700.00,13280.00,13340.00,144423540230,10822640,412,D,13620.00,13320.00
Omid.Inv..Mng.,20220723,13600.00,13720.00,13490.00,13620.00,80980681550,5966309,313,D,13720.00,13640.00
Omid.Inv..Mng.,20220720,13760.00,13780.00,13560.00,13720.00,12382787050,903376,134,D,13720.00,13710.00
Omid.Inv..Mng.,20220719,13520.00,13800.00,13520.00,13720.00,66707112260,4860377,323,D,13720.00,13750.00
Omid.Inv..Mng.,20220717,13520.00,13750.00,13500.00,13720.00,78624806940,5734933,265,D,13750.00,13750.00
Omid.Inv..Mng.,20220716,13800.00,13800.00,13520.00,13750.00,15373147040,1133131,179,D,13780.00,13700.00
Omid.Inv..Mng.,20220713,13780.00,13850.00,13600.00,13780.00,102976874020,7476422,359,D,13800.00,13780.00
Omid.Inv..Mng.,20220712,13770.00,13940.00,13540.00,13800.00,31001432570,2248603,215,D,13800.00,13830.00
Omid.Inv..Mng.,20220711,13940.00,13950.00,13520.00,13800.00,32694488920,2380804,235,D,13830.00,13840.00
Omid.Inv..Mng.,20220709,13800.00,13980.00,13740.00,13830.00,18099511540,1309335,147,D,13830.00,13900.00
Omid.Inv..Mng.,20220706,13970.00,14000.00,13660.00,13830.00,47186539520,3406525,204,D,13820.00,14000.00
Omid.Inv..Mng.,20220705,13800.00,13950.00,13600.00,13820.00,63052074700,4553332,280,D,13790.00,13940.00
Omid.Inv..Mng.,20220704,13520.00,14060.00,13520.00,13790.00,133597988430,9688218,559,D,13720.00,13790.00
Omid.Inv..Mng.,20220703,13700.00,13800.00,13520.00,13720.00,123512661720,9005063,328,D,13710.00,13720.00
Omid.Inv..Mng.,20220702,13460.00,13780.00,13460.00,13710.00,30482179230,2244064,220,D,13760.00,13700.00
Omid.Inv..Mng.,20220629,13660.00,13900.00,13580.00,13760.00,36681957270,2676915,245,D,13790.00,13790.00
Omid.Inv..Mng.,20220628,13790.00,13970.00,13640.00,13790.00,39571471440,2868448,305,D,13780.00,13780.00
Omid.Inv..Mng.,20220627,13650.00,14180.00,13650.00,13780.00,41383206470,2986637,282,D,13740.00,13840.00
Omid.Inv..Mng.,20220626,14100.00,14100.00,13500.00,13740.00,76692187380,5640333,381,D,14010.00,13550.00
Omid.Inv..Mng.,20220625,14320.00,14320.00,13900.00,14010.00,56321516760,4005016,371,D,13970.00,13930.00
Omid.Inv..Mng.,20220622,13560.00,14180.00,13560.00,13970.00,51056288510,3635250,292,D,13910.00,14070.00
Omid.Inv..Mng.,20220621,14170.00,14170.00,13460.00,13910.00,51114405880,3689580,497,D,13960.00,13970.00
Omid.Inv..Mng.,20220620,13950.00,14150.00,13900.00,13960.00,171162640210,12262201,424,D,13980.00,13990.00
Omid.Inv..Mng.,20220619,13970.00,14200.00,13930.00,13980.00,26007097960,1855478,197,D,13970.00,14080.00
Omid.Inv..Mng.,20220618,14000.00,14100.00,13910.00,13970.00,97694738330,7007646,293,D,14120.00,13960.00
Omid.Inv..Mng.,20220615,14000.00,14240.00,14000.00,14120.00,47127200550,3355928,196,D,14170.00,14100.00
Omid.Inv..Mng.,20220614,14280.00,14390.00,13990.00,14170.00,84095758060,5955415,446,D,14280.00,14200.00
Omid.Inv..Mng.,20220613,14080.00,14580.00,14080.00,14280.00,126487930320,8854824,500,D,14180.00,14320.00
Omid.Inv..Mng.,20220612,14200.00,14400.00,13950.00,14180.00,128748726120,9077641,1071,D,14220.00,14240.00
Omid.Inv..Mng.,20220611,14240.00,14260.00,13950.00,14220.00,121584765910,8551478,877,D,14240.00,13960.00
Omid.Inv..Mng.,20220608,14000.00,14490.00,14000.00,14240.00,59916529870,4210139,310,D,14250.00,14240.00
Omid.Inv..Mng.,20220607,13920.00,14320.00,13920.00,14250.00,138266457010,9705661,535,D,14260.00,14280.00
Omid.Inv..Mng.,20220606,14310.00,14310.00,13920.00,14260.00,19224566200,1367963,227,D,14300.00,14150.00
Omid.Inv..Mng.,20220601,14460.00,14850.00,14060.00,14300.00,51096411490,3564698,264,D,14280.00,14490.00
Omid.Inv..Mng.,20220531,13910.00,14350.00,13910.00,14280.00,107285052450,7514879,430,D,14310.00,14350.00
Omid.Inv..Mng.,20220530,14330.00,14820.00,14000.00,14310.00,106113808060,7413315,923,D,14320.00,14350.00
Omid.Inv..Mng.,20220529,14210.00,14700.00,14130.00,14320.00,139457869350,9736637,1444,D,14740.00,14380.00
Omid.Inv..Mng.,20220528,15180.00,15180.00,14390.00,14740.00,41483953860,2832550,433,D,14790.00,14450.00
Omid.Inv..Mng.,20220525,14430.00,15090.00,14430.00,14790.00,53934836390,3640152,314,D,14760.00,14820.00
Omid.Inv..Mng.,20220524,14170.00,14990.00,14170.00,14760.00,70068194090,4743067,451,D,14750.00,14820.00
Omid.Inv..Mng.,20220523,14000.00,14970.00,14000.00,14750.00,23691410810,1611625,267,D,14760.00,14880.00
Omid.Inv..Mng.,20220517,15680.00,16000.00,15540.00,15790.00,234250037390,14833430,924,D,15670.00,15800.00
Omid.Inv..Mng.,20220516,15270.00,15900.00,15270.00,15670.00,337075587120,21513752,952,D,15440.00,15850.00
Omid.Inv..Mng.,20220515,15300.00,15680.00,15000.00,15440.00,206358418430,13367630,664,D,15150.00,15600.00
Omid.Inv..Mng.,20220514,15300.00,15700.00,14900.00,15150.00,152893522080,10094705,1366,D,15040.00,15390.00
Omid.Inv..Mng.,20220511,14700.00,15300.00,14670.00,15040.00,186600260360,12409638,1161,D,14760.00,15200.00
Omid.Inv..Mng.,20220510,14510.00,15190.00,14490.00,14760.00,248253151050,16814316,899,D,14630.00,15060.00
Omid.Inv..Mng.,20220509,14560.00,14910.00,14390.00,14630.00,97280370460,6640398,1110,D,14560.00,14910.00
Omid.Inv..Mng.,20220508,14380.00,14840.00,14350.00,14560.00,140403737770,9641046,871,D,14590.00,14810.00
Omid.Inv..Mng.,20220507,14360.00,14730.00,14360.00,14590.00,142043768780,9736665,572,D,14540.00,14610.00
Omid.Inv..Mng.,20220502,14550.00,14850.00,14360.00,14540.00,51853322170,3564785,376,D,14540.00,14550.00
Omid.Inv..Mng.,20220501,14740.00,14740.00,14360.00,14540.00,179572061230,12353221,662,D,14530.00,14600.00
Omid.Inv..Mng.,20220430,14470.00,14950.00,14360.00,14530.00,104146810650,7169167,572,D,14520.00,14550.00
Omid.Inv..Mng.,20220427,14600.00,14800.00,14360.00,14520.00,146915599230,10119774,677,D,14520.00,14530.00
Omid.Inv..Mng.,20220426,14300.00,14780.00,14300.00,14520.00,251558384500,17320709,1191,D,14490.00,14500.00
Omid.Inv..Mng.,20220425,15270.00,15280.00,14360.00,14490.00,385888939290,26638193,2127,D,15270.00,14430.00
Omid.Inv..Mng.,20220424,15500.00,15500.00,15240.00,15270.00,37296618590,2441080,139,D,15260.00,15290.00
Omid.Inv..Mng.,20220420,15390.00,15880.00,15220.00,15260.00,25578010950,1656401,223,D,15210.00,15220.00
Omid.Inv..Mng.,20220419,15200.00,15490.00,15200.00,15210.00,23189037060,1517436,160,D,15190.00,15290.00
Omid.Inv..Mng.,20220418,15160.00,15680.00,15160.00,15190.00,17659576480,1150907,194,D,15160.00,15340.00
Omid.Inv..Mng.,20220417,15140.00,15780.00,15140.00,15160.00,10934748540,712337,152,D,15140.00,15300.00
Omid.Inv..Mng.,20220416,15460.00,15460.00,15290.00,15140.00,24707966910,1609751,150,D,15090.00,15350.00
Omid.Inv..Mng.,20220413,15460.00,15460.00,14980.00,15090.00,67802962850,4467033,248,D,14980.00,15280.00
Omid.Inv..Mng.,20220412,15200.00,15580.00,14860.00,14980.00,45829041190,3030008,211,D,14900.00,14940.00
Omid.Inv..Mng.,20220411,15000.00,15160.00,14860.00,14900.00,39905723700,2664833,258,D,14860.00,14860.00
Omid.Inv..Mng.,20220410,15070.00,15070.00,14720.00,14860.00,208179887230,14012544,442,D,14490.00,14880.00
Omid.Inv..Mng.,20220409,14500.00,14960.00,14300.00,14490.00,30473096910,2086023,162,D,14450.00,14750.00
Omid.Inv..Mng.,20220406,14890.00,14890.00,14590.00,14450.00,40827239090,2791987,154,D,14360.00,14600.00
Omid.Inv..Mng.,20220405,14590.00,14800.00,14590.00,14360.00,21613326500,1481038,117,D,14310.00,14590.00
Omid.Inv..Mng.,20220404,14950.00,14970.00,14540.00,14310.00,16788135620,1148340,153,D,14260.00,14580.00
Omid.Inv..Mng.,20220403,14460.00,14880.00,14460.00,14260.00,15947490430,1077293,184,D,14180.00,14870.00
Omid.Inv..Mng.,20220330,14720.00,14720.00,14210.00,14180.00,22401036450,1551993,203,D,14120.00,14600.00
Omid.Inv..Mng.,20220329,14710.00,14780.00,14310.00,14120.00,9387720620,648498,127,D,14090.00,14350.00
Omid.Inv..Mng.,20220328,14110.00,14700.00,14100.00,14090.00,29513800920,2056031,249,D,14010.00,14670.00
Omid.Inv..Mng.,20220327,14020.00,14380.00,14020.00,14010.00,6565402190,461250,62,D,14000.00,14250.00
Omid.Inv..Mng.,20220326,14300.00,14340.00,13990.00,14000.00,10772391340,758157,89,D,13980.00,14230.00
Omid.Inv..Mng.,20220319,13980.00,14000.00,13860.00,13980.00,34047274780,2435167,120,D,13980.00,13990.00
Omid.Inv..Mng.,20220316,13980.00,14250.00,13400.00,13980.00,54942443240,3927848,194,D,13980.00,14100.00
Omid.Inv..Mng.,20220315,13970.00,13990.00,13710.00,13980.00,33812074660,2420062,99,D,13980.00,13990.00
Omid.Inv..Mng.,20220314,13980.00,13980.00,13690.00,13980.00,39926109400,2857212,120,D,13980.00,13980.00
Omid.Inv..Mng.,20220313,13980.00,13980.00,13700.00,13980.00,42427783420,3036695,128,D,13980.00,13980.00
Omid.Inv..Mng.,20220312,13980.00,14000.00,13690.00,13980.00,57381588350,4105384,170,D,13980.00,13980.00
Omid.Inv..Mng.,20220309,13980.00,14130.00,13600.00,13980.00,118120274940,8449335,284,D,13980.00,13980.00
Omid.Inv..Mng.,20220308,13980.00,13980.00,13900.00,13980.00,53569892170,3834448,154,D,13980.00,13980.00
Omid.Inv..Mng.,20220307,14000.00,14080.00,13900.00,13980.00,93604186040,6692098,295,D,13960.00,13990.00
Omid.Inv..Mng.,20220306,14180.00,14180.00,13880.00,13960.00,108950834830,7792356,368,D,13800.00,14000.00
Omid.Inv..Mng.,20220305,13970.00,13980.00,13760.00,13800.00,103641347140,7506774,328,D,13790.00,13790.00
Omid.Inv..Mng.,20220302,13830.00,13900.00,13590.00,13790.00,157260721350,11404894,806,D,13830.00,13830.00
Omid.Inv..Mng.,20220228,13800.00,13910.00,13560.00,13830.00,162070509240,11721774,518,D,13870.00,13890.00
Omid.Inv..Mng.,20220227,13800.00,13860.00,13580.00,13870.00,10653659780,773436,87,D,13880.00,13640.00
Omid.Inv..Mng.,20220226,13930.00,13930.00,13580.00,13880.00,56095357890,4057217,286,D,13920.00,13590.00
Omid.Inv..Mng.,20220223,14150.00,14150.00,13750.00,13920.00,84146988980,6046315,242,D,13930.00,13920.00
Omid.Inv..Mng.,20220222,13900.00,13940.00,13850.00,13930.00,91467877590,6568036,414,D,13930.00,13890.00
Omid.Inv..Mng.,20220221,13970.00,14000.00,13580.00,13930.00,74471710620,5349151,321,D,13930.00,13730.00
Omid.Inv..Mng.,20220220,13960.00,14040.00,13610.00,13930.00,74243361530,5332188,368,D,13950.00,13770.00
Omid.Inv..Mng.,20220219,13930.00,14050.00,13900.00,13950.00,91767774200,6575533,573,D,13930.00,13920.00
Omid.Inv..Mng.,20220216,14120.00,14200.00,13680.00,13930.00,163105122420,11707594,368,D,13900.00,13990.00
Omid.Inv..Mng.,20220214,13890.00,14160.00,13610.00,13900.00,37654226200,2703458,274,D,13890.00,13890.00
Omid.Inv..Mng.,20220213,13890.00,14030.00,13370.00,13890.00,64657484060,4655637,265,D,13890.00,13890.00
Omid.Inv..Mng.,20220212,13910.00,13960.00,13630.00,13890.00,30296422590,2188847,173,D,13910.00,13630.00
Omid.Inv..Mng.,20220209,14100.00,14100.00,13700.00,13910.00,13027097810,939162,106,D,13920.00,13780.00
Omid.Inv..Mng.,20220208,13920.00,14260.00,13710.00,13920.00,38551978160,2769326,150,D,13920.00,13760.00
Omid.Inv..Mng.,20220207,13920.00,14060.00,13450.00,13920.00,108863233650,7818915,319,D,13920.00,14060.00
Omid.Inv..Mng.,20220206,13960.00,14100.00,13360.00,13920.00,45986457010,3320164,227,D,13960.00,13800.00
Omid.Inv..Mng.,20220205,13960.00,14000.00,13710.00,13960.00,39227885950,2809302,342,D,13960.00,14000.00
Omid.Inv..Mng.,20220202,14300.00,14300.00,13830.00,13960.00,36231235030,2595076,144,D,13960.00,13980.00
Omid.Inv..Mng.,20220201,13960.00,14250.00,13890.00,13960.00,76471529980,5475806,266,D,13950.00,13950.00
Omid.Inv..Mng.,20220131,14000.00,14200.00,13800.00,13950.00,131397867590,9419589,458,D,13920.00,13920.00
Omid.Inv..Mng.,20220130,13760.00,14350.00,13750.00,13920.00,83927444470,5976921,305,D,13670.00,13940.00
Omid.Inv..Mng.,20220129,13430.00,14070.00,13420.00,13670.00,67734992140,4877476,349,D,13400.00,13900.00
Omid.Inv..Mng.,20220126,13640.00,13700.00,13310.00,13400.00,74074971890,5501010,301,D,13270.00,13510.00
Omid.Inv..Mng.,20220125,13600.00,13870.00,12920.00,13270.00,96196747870,7278978,398,D,13600.00,13600.00
Omid.Inv..Mng.,20220124,14000.00,14030.00,13330.00,13600.00,84675040620,6298132,338,D,14030.00,13330.00
Omid.Inv..Mng.,20220123,14090.00,14310.00,13470.00,14030.00,92635958790,6612695,444,D,14090.00,13800.00
Omid.Inv..Mng.,20220122,14120.00,14370.00,13860.00,14090.00,59029995990,4191722,228,D,14090.00,13880.00
Omid.Inv..Mng.,20220119,14050.00,14260.00,13840.00,14090.00,106508728680,7556690,424,D,14050.00,14210.00
Omid.Inv..Mng.,20220118,14060.00,14240.00,13600.00,14050.00,69632815060,4959522,330,D,14060.00,13600.00
Omid.Inv..Mng.,20220117,14000.00,14360.00,13600.00,14060.00,75233928720,5352733,338,D,14080.00,13770.00
Omid.Inv..Mng.,20220116,14210.00,14210.00,13500.00,14080.00,53173118390,3820647,352,D,14210.00,14000.00
Omid.Inv..Mng.,20220115,14270.00,14270.00,13740.00,14210.00,14491566210,1044283,169,D,14260.00,13750.00
Omid.Inv..Mng.,20220112,14270.00,14270.00,13950.00,14260.00,17750549040,1249158,126,D,14270.00,14260.00
Omid.Inv..Mng.,20220111,14290.00,14600.00,14010.00,14270.00,40529743200,2844923,226,D,14280.00,14100.00
Omid.Inv..Mng.,20220110,14380.00,14450.00,13880.00,14280.00,104211238650,7310270,1006,D,14420.00,14170.00
Omid.Inv..Mng.,20220109,14550.00,14550.00,14050.00,14420.00,41532047830,2885755,224,D,14440.00,14080.00
Omid.Inv..Mng.,20220108,14700.00,14700.00,14180.00,14440.00,20133980260,1392074,160,D,14440.00,14450.00
Omid.Inv..Mng.,20220105,14160.00,14580.00,14000.00,14440.00,25029274530,1735142,298,D,14440.00,14530.00
Omid.Inv..Mng.,20220104,14900.00,14900.00,14190.00,14440.00,21581589900,1501366,158,D,14450.00,14310.00
Omid.Inv..Mng.,20220103,14160.00,14780.00,14160.00,14450.00,49532130650,3420892,381,D,14430.00,14440.00
Omid.Inv..Mng.,20220102,14430.00,14700.00,14220.00,14430.00,61356182590,4250685,365,D,14430.00,14330.00
Omid.Inv..Mng.,20220101,14440.00,14830.00,14330.00,14430.00,38408111550,2659442,323,D,14420.00,14470.00
Omid.Inv..Mng.,20211229,14220.00,14900.00,14220.00,14420.00,67369926840,4612682,639,D,14220.00,14500.00
Omid.Inv..Mng.,20211228,14580.00,14620.00,14010.00,14220.00,50394699710,3531100,574,D,14190.00,14460.00
Omid.Inv..Mng.,20211227,14530.00,14690.00,14070.00,14190.00,66888060360,4680207,623,D,14080.00,14590.00
Omid.Inv..Mng.,20211226,14000.00,14400.00,13500.00,14080.00,61919270950,4373422,552,D,14000.00,14400.00
Omid.Inv..Mng.,20211225,13590.00,14100.00,13580.00,14000.00,171179812820,12224455,652,D,13580.00,13580.00
Omid.Inv..Mng.,20211222,13360.00,13760.00,13360.00,13580.00,172065976930,12674133,494,D,13360.00,13640.00
Omid.Inv..Mng.,20211221,13350.00,13740.00,13330.00,13360.00,46609900340,3479279,296,D,13340.00,13440.00
Omid.Inv..Mng.,20211220,13190.00,13760.00,13190.00,13340.00,86900579950,6482247,525,D,13190.00,13490.00
Omid.Inv..Mng.,20211219,13190.00,13210.00,12920.00,13190.00,32223817100,2445360,192,D,13190.00,13190.00
Omid.Inv..Mng.,20211218,13190.00,13290.00,13010.00,13190.00,30931057680,2341961,297,D,13190.00,13260.00
Omid.Inv..Mng.,20211215,13200.00,13450.00,12930.00,13190.00,28648957580,2173839,160,D,13200.00,13000.00
Omid.Inv..Mng.,20211214,13810.00,13810.00,12740.00,13200.00,31470757470,2367020,235,D,13160.00,13160.00
Omid.Inv..Mng.,20211213,13250.00,13270.00,12590.00,13160.00,24120685030,1883574,249,D,13250.00,12600.00
Omid.Inv..Mng.,20211212,13270.00,13330.00,12760.00,13250.00,17874989780,1357380,144,D,13270.00,13260.00
Omid.Inv..Mng.,20211211,13300.00,13490.00,13020.00,13270.00,16497657140,1242861,121,D,13270.00,13350.00
Omid.Inv..Mng.,20211208,13300.00,13310.00,13110.00,13270.00,15914082980,1198502,123,D,13270.00,13300.00
Omid.Inv..Mng.,20211207,13270.00,13570.00,13250.00,13270.00,38312379430,2884309,185,D,13260.00,13270.00
Omid.Inv..Mng.,20211206,13230.00,13630.00,13230.00,13260.00,15566097460,1154696,213,D,13230.00,13400.00
Omid.Inv..Mng.,20211205,13270.00,13450.00,13220.00,13230.00,12105615430,906832,162,D,13220.00,13350.00
Omid.Inv..Mng.,20211204,13100.00,13460.00,13100.00,13220.00,7175271990,542196,123,D,13220.00,13270.00
Omid.Inv..Mng.,20211201,13220.00,13370.00,12910.00,13220.00,25545036910,1934838,209,D,13230.00,13300.00
Omid.Inv..Mng.,20211130,13150.00,13450.00,13110.00,13230.00,24582782990,1851297,214,D,13220.00,13220.00
Omid.Inv..Mng.,20211129,13390.00,13440.00,13100.00,13220.00,29823927170,2248728,226,D,13210.00,13220.00
Omid.Inv..Mng.,20211128,13180.00,13340.00,13000.00,13210.00,71760634490,5433611,297,D,13220.00,13020.00
Omid.Inv..Mng.,20211127,13250.00,13250.00,12650.00,13220.00,19229244050,1468353,171,D,13240.00,12850.00
Omid.Inv..Mng.,20211124,13260.00,13440.00,13250.00,13240.00,10500956570,791716,165,D,13240.00,13260.00
Omid.Inv..Mng.,20211123,13150.00,13420.00,13150.00,13240.00,50846302420,3797688,310,D,13140.00,13380.00
Omid.Inv..Mng.,20211122,13110.00,13330.00,13100.00,13140.00,50526965600,3811095,351,D,13050.00,13200.00
Omid.Inv..Mng.,20211121,13000.00,13100.00,12730.00,13050.00,17303382760,1326572,214,D,13050.00,13080.00
Omid.Inv..Mng.,20211120,13070.00,13110.00,12660.00,13050.00,16994945850,1304824,184,D,13060.00,12760.00
