<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Saba.Tamin.Inv.,20220817,4860.00,4915.00,4783.00,4841.00,39915743559,8221538,871,D,4834.00,4840.00
Saba.Tamin.Inv.,20220816,4896.00,4950.00,4822.00,4834.00,62585759344,12827819,1250,D,4790.00,4883.00
Saba.Tamin.Inv.,20220815,4850.00,4890.00,4812.00,4790.00,34254843651,7054676,965,D,4765.00,4868.00
Saba.Tamin.Inv.,20220814,4890.00,4890.00,4811.00,4765.00,40606340104,8406219,1034,D,4733.00,4829.00
Saba.Tamin.Inv.,20220813,4710.00,4895.00,4710.00,4733.00,48037988541,9957583,1119,D,4675.00,4830.00
Saba.Tamin.Inv.,20220810,4687.00,4770.00,4687.00,4675.00,22277367870,4723237,707,D,4666.00,4713.00
Saba.Tamin.Inv.,20220809,4700.00,4790.00,4680.00,4666.00,47341402486,9981113,1293,D,4619.00,4756.00
Saba.Tamin.Inv.,20220806,4670.00,4843.00,4651.00,4619.00,33290175786,6997862,1109,D,4569.00,4725.00
Saba.Tamin.Inv.,20220803,4560.00,4780.00,4550.00,4569.00,24711606514,5282260,1001,D,4542.00,4660.00
Saba.Tamin.Inv.,20220802,4600.00,4600.00,4520.00,4542.00,23645755577,5190049,761,D,4538.00,4592.00
Saba.Tamin.Inv.,20220801,4512.00,4594.00,4512.00,4538.00,23944996972,5277667,720,D,4538.00,4539.00
Saba.Tamin.Inv.,20220731,4530.00,4550.00,4470.00,4538.00,28144326914,6246563,943,D,4548.00,4537.00
Saba.Tamin.Inv.,20220730,4500.00,4609.00,4500.00,4548.00,44182917124,9684470,994,D,4540.00,4533.00
Saba.Tamin.Inv.,20220727,4550.00,4599.00,4510.00,4540.00,23181828821,5072766,793,D,4533.00,4575.00
Saba.Tamin.Inv.,20220726,4470.00,4580.00,4470.00,4533.00,42425421962,9372015,1005,D,4536.00,4539.00
Saba.Tamin.Inv.,20220725,4506.00,4560.00,4411.00,4536.00,61495644972,13714226,1172,D,4591.00,4445.00
Saba.Tamin.Inv.,20220724,4691.00,4754.00,4550.00,4591.00,38325833019,8311218,1214,D,4582.00,4568.00
Saba.Tamin.Inv.,20220723,4611.00,4769.00,4552.00,4582.00,48104218627,10317766,1308,D,4531.00,4700.00
Saba.Tamin.Inv.,20220720,4500.00,4600.00,4500.00,4531.00,25151130771,5532277,918,D,4527.00,4540.00
Saba.Tamin.Inv.,20220719,4490.00,4550.00,4480.00,4527.00,22328461510,4927132,935,D,4526.00,4530.00
Saba.Tamin.Inv.,20220717,4530.00,4530.00,4492.00,4526.00,54389608935,12067582,962,D,4543.00,4506.00
Saba.Tamin.Inv.,20220716,4501.00,4572.00,4490.00,4543.00,50162807414,11139523,1219,D,4572.00,4530.00
Saba.Tamin.Inv.,20220713,4504.00,4635.00,4504.00,4572.00,23569818407,5161374,761,D,4573.00,4554.00
Saba.Tamin.Inv.,20220712,4501.00,4640.00,4493.00,4573.00,31202458605,6878680,987,D,4587.00,4550.00
Saba.Tamin.Inv.,20220711,4586.00,4586.00,4502.00,4587.00,42583683610,9399425,1167,D,4620.00,4510.00
Saba.Tamin.Inv.,20220709,4577.00,4650.00,4575.00,4620.00,46194740457,10050053,1187,D,4635.00,4585.00
Saba.Tamin.Inv.,20220706,4610.00,4628.00,4580.00,4635.00,43171148161,9394027,985,D,4658.00,4591.00
Saba.Tamin.Inv.,20220705,4662.00,4662.00,4590.00,4658.00,62691524842,13551933,1050,D,4696.00,4622.00
Saba.Tamin.Inv.,20220704,4620.00,4810.00,4620.00,4696.00,40794562171,8722629,1186,D,4706.00,4668.00
Saba.Tamin.Inv.,20220703,4601.00,4655.00,4572.00,4706.00,37889897236,8173940,1065,D,4740.00,4637.00
Saba.Tamin.Inv.,20220702,4670.00,4729.00,4610.00,4740.00,30390379214,6521095,1050,D,4768.00,4630.00
Saba.Tamin.Inv.,20220629,4730.00,4780.00,4664.00,4768.00,24815923293,5277273,1017,D,4786.00,4727.00
Saba.Tamin.Inv.,20220628,4798.00,4800.00,4711.00,4786.00,28292987354,5928805,1133,D,4791.00,4753.00
Saba.Tamin.Inv.,20220627,4702.00,4844.00,4678.00,4791.00,55168002685,11653130,1589,D,4844.00,4752.00
Saba.Tamin.Inv.,20220626,4780.00,4821.00,4720.00,4844.00,65563223325,13693897,1317,D,4916.00,4724.00
Saba.Tamin.Inv.,20220625,4950.00,4950.00,4800.00,4916.00,43620236179,8988036,1359,D,4953.00,4815.00
Saba.Tamin.Inv.,20220622,4900.00,4960.00,4880.00,4953.00,47873282714,9733555,1454,D,4976.00,4920.00
Saba.Tamin.Inv.,20220621,4830.00,5050.00,4830.00,4976.00,153949613765,30939286,2024,D,4963.00,4930.00
Saba.Tamin.Inv.,20220620,4900.00,5050.00,4851.00,4963.00,152447312606,30714377,1995,D,4888.00,4899.00
Saba.Tamin.Inv.,20220619,4869.00,4935.00,4850.00,4888.00,68397040538,14037414,1487,D,4910.00,4851.00
Saba.Tamin.Inv.,20220618,4860.00,5049.00,4807.00,4910.00,55986796293,11518647,1398,D,4955.00,4910.00
Saba.Tamin.Inv.,20220615,4891.00,5076.00,4854.00,4955.00,128435667717,25919210,1620,D,4998.00,4946.00
Saba.Tamin.Inv.,20220614,5008.00,5025.00,4910.00,4998.00,159267207902,31866609,1914,D,4968.00,4922.00
Saba.Tamin.Inv.,20220613,4910.00,5044.00,4860.00,4968.00,145961694488,29380060,1959,D,4845.00,4970.00
Saba.Tamin.Inv.,20220612,4722.00,4920.00,4720.00,4845.00,152366092919,31445625,2090,D,4772.00,4900.00
Saba.Tamin.Inv.,20220611,4712.00,4808.00,4712.00,4772.00,73004743179,15298419,1536,D,4773.00,4772.00
Saba.Tamin.Inv.,20220608,4703.00,4855.00,4703.00,4773.00,71282917424,14899092,1609,D,4757.00,4850.00
Saba.Tamin.Inv.,20220607,4750.00,4800.00,4680.00,4757.00,48296766024,10190959,1686,D,4769.00,4765.00
Saba.Tamin.Inv.,20220606,4725.00,4887.00,4700.00,4769.00,77279960472,16330593,1713,D,4840.00,4712.00
Saba.Tamin.Inv.,20220601,4850.00,4880.00,4787.00,4840.00,34061489233,7064953,1175,D,4848.00,4808.00
Saba.Tamin.Inv.,20220531,4800.00,4898.00,4790.00,4848.00,39731634506,8179921,1336,D,4843.00,4875.00
Saba.Tamin.Inv.,20220530,4800.00,4899.00,4800.00,4843.00,53077628918,10947618,1593,D,4839.00,4866.00
Saba.Tamin.Inv.,20220529,4869.00,4870.00,4701.00,4839.00,59627186918,12401434,1943,D,4870.00,4842.00
Saba.Tamin.Inv.,20220528,4851.00,4932.00,4801.00,4870.00,69830690165,14398787,1737,D,4900.00,4810.00
Saba.Tamin.Inv.,20220525,4800.00,4950.00,4800.00,4900.00,99479120510,20293856,2048,D,4890.00,4950.00
Saba.Tamin.Inv.,20220524,4800.00,4980.00,4750.00,4890.00,88520449320,18095749,1712,D,4880.00,4910.00
Saba.Tamin.Inv.,20220523,5000.00,5020.00,4760.00,4880.00,119873884380,24571423,2198,D,5020.00,4840.00
Saba.Tamin.Inv.,20220522,4980.00,5060.00,4930.00,5020.00,111142583170,22134851,2218,D,5020.00,5050.00
Saba.Tamin.Inv.,20220521,5000.00,5060.00,4880.00,5020.00,82646586480,16571248,2086,D,5086.00,4990.00
Saba.Tamin.Inv.,20220518,5096.00,5120.00,5000.00,5086.00,94448861188,18663705,2999,D,5170.00,5070.00
Saba.Tamin.Inv.,20220517,5190.00,5235.00,5096.00,5170.00,123387592115,23856948,3112,D,5096.00,5161.00
Saba.Tamin.Inv.,20220516,5000.00,5192.00,5000.00,5096.00,144871274230,28428972,3823,D,4981.00,5190.00
Saba.Tamin.Inv.,20220515,4938.00,5038.00,4900.00,4981.00,155107033337,31137703,3241,D,4935.00,5021.00
Saba.Tamin.Inv.,20220514,4950.00,5070.00,4888.00,4935.00,117546304857,23819595,3147,D,4931.00,4970.00
Saba.Tamin.Inv.,20220511,4804.00,5048.00,4804.00,4931.00,141526776099,28700762,3246,D,4793.00,4984.00
Saba.Tamin.Inv.,20220510,4767.00,4850.00,4690.00,4793.00,179879323911,37531191,2810,D,4781.00,4849.00
Saba.Tamin.Inv.,20220509,4712.00,4848.00,4712.00,4781.00,167899885629,35116458,3421,D,4693.00,4794.00
Saba.Tamin.Inv.,20220508,4625.00,4787.00,4625.00,4693.00,167157991506,35615031,4180,D,4625.00,4780.00
Saba.Tamin.Inv.,20220507,4649.00,4665.00,4600.00,4625.00,104799901688,22640555,3285,D,4598.00,4630.00
Saba.Tamin.Inv.,20220502,4551.00,4629.00,4520.00,4598.00,124330651977,27040808,2655,D,4576.00,4629.00
Saba.Tamin.Inv.,20220501,4567.00,4608.00,4550.00,4576.00,139649209565,30518457,2959,D,4612.00,4579.00
Saba.Tamin.Inv.,20220430,4583.00,4649.00,4583.00,4612.00,147535476927,31992314,3825,D,4700.00,4610.00
Saba.Tamin.Inv.,20220427,4830.00,4830.00,4610.00,4700.00,187549349200,39901620,5283,D,4749.00,4677.00
Saba.Tamin.Inv.,20220426,4670.00,4825.00,4600.00,4749.00,210725216551,44371689,3546,D,4670.00,4767.00
Saba.Tamin.Inv.,20220425,4694.00,4718.00,4530.00,4670.00,212464968888,45498879,3526,D,4694.00,4670.00
Saba.Tamin.Inv.,20220424,4590.00,4717.00,4474.00,4694.00,568365005703,121077344,7586,D,4450.00,4670.00
Saba.Tamin.Inv.,20220420,4450.00,4450.00,4450.00,4450.00,205176185600,46107008,983,D,3980.00,4450.00
Saba.Tamin.Inv.,20220412,6170.00,6200.00,5880.00,5960.00,207579359080,34833666,3329,D,6180.00,5880.00
Saba.Tamin.Inv.,20220411,6100.00,6230.00,6090.00,6180.00,191745670590,31005407,2911,D,6100.00,6210.00
Saba.Tamin.Inv.,20220410,6020.00,6150.00,6020.00,6100.00,122665464360,20113655,2161,D,5980.00,6150.00
Saba.Tamin.Inv.,20220409,6000.00,6050.00,5850.00,5980.00,93920423580,15741872,1910,D,6050.00,6000.00
Saba.Tamin.Inv.,20220406,6100.00,6150.00,5970.00,6050.00,75460557950,12518303,1983,D,6110.00,6010.00
Saba.Tamin.Inv.,20220405,6090.00,6170.00,5970.00,6110.00,109919915280,18003656,2164,D,6120.00,6140.00
Saba.Tamin.Inv.,20220404,6220.00,6260.00,6000.00,6120.00,92565984660,15132262,2260,D,6160.00,6050.00
Saba.Tamin.Inv.,20220403,6080.00,6280.00,6030.00,6160.00,134134601230,21765659,2512,D,6030.00,6250.00
Saba.Tamin.Inv.,20220330,6020.00,6150.00,5970.00,6030.00,73170755730,12075227,1792,D,5980.00,6060.00
Saba.Tamin.Inv.,20220329,5950.00,6070.00,5810.00,5980.00,146223162520,24463187,2849,D,5790.00,6020.00
Saba.Tamin.Inv.,20220328,0.00,0.00,0.00,5790.00,69764563140,12014116,1547,D,5790.00,5820.00
Saba.Tamin.Inv.,20220327,5790.00,5850.00,5720.00,5790.00,69764563140,12014116,1547,D,5760.00,5820.00
Saba.Tamin.Inv.,20220326,5850.00,5880.00,5690.00,5760.00,71669037720,12417943,1771,D,5720.00,5800.00
Saba.Tamin.Inv.,20220319,5580.00,5730.00,5580.00,5720.00,131789404020,23037614,1378,D,5460.00,5730.00
Saba.Tamin.Inv.,20220316,5420.00,5560.00,5380.00,5460.00,60019921290,10877194,1540,D,5370.00,5540.00
Saba.Tamin.Inv.,20220315,5380.00,5420.00,5320.00,5370.00,44402348410,8282058,1443,D,5380.00,5420.00
Saba.Tamin.Inv.,20220314,5400.00,5440.00,5320.00,5380.00,53382096310,9961239,1516,D,5400.00,5370.00
Saba.Tamin.Inv.,20220313,5350.00,5420.00,5320.00,5400.00,54863974120,10239736,1726,D,5460.00,5350.00
Saba.Tamin.Inv.,20220312,5550.00,5550.00,5370.00,5460.00,64577974220,11934854,2001,D,5560.00,5420.00
Saba.Tamin.Inv.,20220309,5660.00,5660.00,5490.00,5560.00,104987732130,18889084,2308,D,5600.00,5550.00
Saba.Tamin.Inv.,20220308,5600.00,5660.00,5560.00,5600.00,103325036210,18436690,1411,D,5720.00,5610.00
Saba.Tamin.Inv.,20220307,5690.00,5780.00,5640.00,5720.00,103568159560,18120613,2664,D,5580.00,5640.00
Saba.Tamin.Inv.,20220306,5570.00,5710.00,5500.00,5580.00,90309307550,16170515,2631,D,5550.00,5610.00
Saba.Tamin.Inv.,20220305,5540.00,5640.00,5500.00,5550.00,83775192850,15076813,2053,D,5540.00,5560.00
Saba.Tamin.Inv.,20220302,5610.00,5610.00,5490.00,5540.00,66971100830,12139339,1689,D,5580.00,5500.00
Saba.Tamin.Inv.,20220228,5620.00,5620.00,5520.00,5580.00,48801300080,8781508,1474,D,5610.00,5530.00
Saba.Tamin.Inv.,20220227,5560.00,5620.00,5510.00,5610.00,39035062160,7028208,1372,D,5650.00,5590.00
Saba.Tamin.Inv.,20220226,5670.00,5670.00,5550.00,5650.00,35932030330,6428649,1479,D,5680.00,5550.00
Saba.Tamin.Inv.,20220223,5650.00,5750.00,5600.00,5680.00,42444757860,7497651,1306,D,5690.00,5700.00
Saba.Tamin.Inv.,20220222,5710.00,5750.00,5630.00,5690.00,23476403020,4140726,1017,D,5690.00,5700.00
Saba.Tamin.Inv.,20220221,5700.00,5790.00,5660.00,5690.00,50885859980,8885869,1613,D,5660.00,5760.00
Saba.Tamin.Inv.,20220220,5630.00,5650.00,5540.00,5660.00,39518197820,7084362,1671,D,5720.00,5620.00
Saba.Tamin.Inv.,20220219,5710.00,5730.00,5620.00,5720.00,44895280710,7931427,1691,D,5770.00,5660.00
Saba.Tamin.Inv.,20220216,5830.00,5830.00,5700.00,5770.00,30399866830,5302282,1426,D,5790.00,5730.00
Saba.Tamin.Inv.,20220214,5780.00,5870.00,5680.00,5790.00,46176806050,7989922,1455,D,5800.00,5750.00
Saba.Tamin.Inv.,20220213,5830.00,5830.00,5700.00,5800.00,35273701910,6143601,1265,D,5830.00,5730.00
Saba.Tamin.Inv.,20220212,5950.00,5950.00,5720.00,5830.00,58413389160,10074071,1818,D,5870.00,5760.00
Saba.Tamin.Inv.,20220209,5930.00,5930.00,5780.00,5870.00,41606082150,7137354,2158,D,5900.00,5870.00
Saba.Tamin.Inv.,20220208,5790.00,5970.00,5790.00,5900.00,34621823860,5906650,1449,D,5920.00,5850.00
Saba.Tamin.Inv.,20220207,5810.00,5910.00,5720.00,5920.00,51214209080,8724858,1492,D,5960.00,5900.00
Saba.Tamin.Inv.,20220206,6080.00,6080.00,5800.00,5960.00,66205100200,11266171,1623,D,6090.00,5810.00
Saba.Tamin.Inv.,20220205,6130.00,6150.00,6010.00,6090.00,79114085410,13026516,1979,D,6120.00,6070.00
Saba.Tamin.Inv.,20220202,6080.00,6170.00,6020.00,6120.00,62247531120,10189699,1597,D,6140.00,6150.00
Saba.Tamin.Inv.,20220201,6160.00,6180.00,6100.00,6140.00,101204266080,16465341,1854,D,6110.00,6170.00
Saba.Tamin.Inv.,20220131,6010.00,6170.00,6010.00,6110.00,82983043410,13566450,1635,D,6100.00,6130.00
Saba.Tamin.Inv.,20220130,6170.00,6210.00,6000.00,6100.00,112426915590,18445710,2031,D,6030.00,6100.00
Saba.Tamin.Inv.,20220129,5940.00,6060.00,5940.00,6030.00,117398072040,19478077,2378,D,5780.00,6060.00
Saba.Tamin.Inv.,20220126,5700.00,5900.00,5700.00,5780.00,78661595150,13559360,2009,D,5730.00,5750.00
Saba.Tamin.Inv.,20220125,5900.00,5930.00,5620.00,5730.00,168618856980,29416905,2763,D,5910.00,5680.00
Saba.Tamin.Inv.,20220124,5900.00,6010.00,5740.00,5910.00,101824949930,17228163,2143,D,5950.00,5810.00
Saba.Tamin.Inv.,20220123,6030.00,6030.00,5850.00,5950.00,97330859070,16374175,1830,D,6030.00,5900.00
Saba.Tamin.Inv.,20220122,6160.00,6170.00,5950.00,6030.00,45328954060,7508485,1287,D,6030.00,5960.00
Saba.Tamin.Inv.,20220119,6040.00,6150.00,5970.00,6030.00,67678033450,11235015,1435,D,6050.00,6150.00
Saba.Tamin.Inv.,20220118,6170.00,6170.00,5890.00,6050.00,75576735700,12603376,1708,D,6160.00,5920.00
Saba.Tamin.Inv.,20220117,6170.00,6220.00,6090.00,6160.00,56361266980,9158361,1299,D,6170.00,6130.00
Saba.Tamin.Inv.,20220116,6140.00,6240.00,6090.00,6170.00,138803128740,22479561,2132,D,6210.00,6170.00
Saba.Tamin.Inv.,20220115,6230.00,6250.00,6120.00,6210.00,107643505010,17338515,2031,D,6180.00,6200.00
Saba.Tamin.Inv.,20220112,6180.00,6210.00,6080.00,6180.00,113122358580,18289813,2128,D,6120.00,6210.00
Saba.Tamin.Inv.,20220111,6110.00,6160.00,6030.00,6120.00,139092581610,22742964,1970,D,6050.00,6150.00
Saba.Tamin.Inv.,20220110,6040.00,6110.00,5930.00,6050.00,115865122200,19144301,1695,D,6040.00,6070.00
Saba.Tamin.Inv.,20220109,6120.00,6150.00,5930.00,6040.00,145054378220,24006074,2032,D,6070.00,6000.00
Saba.Tamin.Inv.,20220108,6090.00,6160.00,6020.00,6070.00,75573769950,12469108,1640,D,6089.00,6040.00
Saba.Tamin.Inv.,20220105,6080.00,6099.00,6044.00,6089.00,56156588852,9275024,1475,D,6126.00,6079.00
Saba.Tamin.Inv.,20220104,6089.00,6160.00,6035.00,6126.00,46711430305,7681929,1253,D,6160.00,6099.00
Saba.Tamin.Inv.,20220103,6189.00,6200.00,6102.00,6160.00,77377967123,12585925,1413,D,6189.00,6156.00
Saba.Tamin.Inv.,20220102,6195.00,6230.00,6102.00,6189.00,109351054434,17668302,1785,D,6182.00,6102.00
Saba.Tamin.Inv.,20220101,6290.00,6290.00,6050.00,6182.00,94390169404,15303146,1834,D,6264.00,6199.00
Saba.Tamin.Inv.,20211229,6390.00,6390.00,6112.00,6264.00,153554749771,24512801,2498,D,6347.00,6165.00
Saba.Tamin.Inv.,20211228,6389.00,6424.00,6255.00,6347.00,73950960528,11691614,1772,D,6388.00,6289.00
Saba.Tamin.Inv.,20211227,6310.00,6499.00,6240.00,6388.00,274675707436,43000141,2905,D,6278.00,6318.00
Saba.Tamin.Inv.,20211226,6230.00,6330.00,6175.00,6278.00,100441768625,16013562,2047,D,6320.00,6254.00
Saba.Tamin.Inv.,20211225,6300.00,6455.00,6202.00,6320.00,133789931564,21169994,2671,D,6265.00,6280.00
Saba.Tamin.Inv.,20211222,6099.00,6288.00,6097.00,6265.00,136534262498,21793367,2706,D,5989.00,6288.00
Saba.Tamin.Inv.,20211221,6000.00,6096.00,5978.00,5989.00,65971201440,10926099,1526,D,5914.00,6030.00
Saba.Tamin.Inv.,20211220,5895.00,6000.00,5831.00,5914.00,57133045960,9639146,2037,D,5898.00,5927.00
Saba.Tamin.Inv.,20211219,5999.00,5999.00,5780.00,5898.00,58156517002,9909981,1769,D,5935.00,5819.00
Saba.Tamin.Inv.,20211218,5900.00,6015.00,5880.00,5935.00,65535626746,11035151,2207,D,5929.00,6000.00
Saba.Tamin.Inv.,20211215,6006.00,6009.00,5831.00,5929.00,60816673274,10297830,1945,D,5961.00,5888.00
Saba.Tamin.Inv.,20211214,6005.00,6005.00,5904.00,5961.00,115490715271,19373482,2353,D,5968.00,5943.00
Saba.Tamin.Inv.,20211213,6009.00,6090.00,5775.00,5968.00,167704508809,28100156,2855,D,5974.00,5900.00
Saba.Tamin.Inv.,20211212,6010.00,6030.00,5916.00,5974.00,119065691076,19930025,1989,D,6032.00,6003.00
Saba.Tamin.Inv.,20211211,6030.00,6124.00,6002.00,6032.00,88986889567,14778065,1974,D,6078.00,6009.00
Saba.Tamin.Inv.,20211208,6046.00,6114.00,6028.00,6078.00,80989331612,13336927,2338,D,6095.00,6060.00
Saba.Tamin.Inv.,20211207,6127.00,6127.00,6073.00,6095.00,106306074307,17438194,1919,D,6072.00,6081.00
Saba.Tamin.Inv.,20211206,6100.00,6170.00,6040.00,6072.00,77456092368,12739458,1915,D,6053.00,6048.00
Saba.Tamin.Inv.,20211205,6001.00,6210.00,5999.00,6053.00,85060680581,14020024,2506,D,6003.00,6040.00
Saba.Tamin.Inv.,20211204,6011.00,6086.00,5972.00,6003.00,102041230823,16996001,2413,D,5988.00,6001.00
Saba.Tamin.Inv.,20211201,6000.00,6011.00,5920.00,5988.00,335002209747,55942811,2428,D,6000.00,6007.00
Saba.Tamin.Inv.,20211130,6030.00,6050.00,5975.00,6000.00,111860393818,18642042,2693,D,6025.00,5993.00
Saba.Tamin.Inv.,20211129,6050.00,6080.00,5996.00,6025.00,112702820180,18705774,2620,D,6033.00,6030.00
Saba.Tamin.Inv.,20211128,6001.00,6140.00,6001.00,6033.00,93838575968,15541737,2443,D,6001.00,6010.00
Saba.Tamin.Inv.,20211127,6100.00,6100.00,5961.00,6001.00,161286122752,26875804,2832,D,6073.00,5990.00
Saba.Tamin.Inv.,20211124,6080.00,6159.00,6025.00,6073.00,87142500762,14375382,2916,D,6115.00,6081.00
Saba.Tamin.Inv.,20211123,6170.00,6210.00,6070.00,6115.00,121308479517,19839022,3641,D,6227.00,6081.00
Saba.Tamin.Inv.,20211122,6320.00,6380.00,6191.00,6227.00,89590397249,14339051,3185,D,6147.00,6242.00
Saba.Tamin.Inv.,20211121,6000.00,6305.00,5968.00,6147.00,138612758519,22548616,3648,D,6030.00,6259.00
Saba.Tamin.Inv.,20211120,6064.00,6190.00,5993.00,6030.00,117307675757,19455192,2832,D,6122.00,6028.00
Saba.Tamin.Inv.,20211117,6075.00,6219.00,6075.00,6122.00,101925454073,16639950,3073,D,6086.00,6092.00
Saba.Tamin.Inv.,20211116,6019.00,6169.00,6011.00,6086.00,79222063261,13037031,2435,D,6112.00,6073.00
Saba.Tamin.Inv.,20211115,6320.00,6320.00,6031.00,6112.00,124740190205,20410715,3263,D,6219.00,6067.00
Saba.Tamin.Inv.,20211114,6190.00,6332.00,6150.00,6219.00,159757143345,25689034,3608,D,6213.00,6150.00
Saba.Tamin.Inv.,20211113,6300.00,6300.00,6165.00,6213.00,117158690621,18857372,3962,D,6431.00,6188.00
Saba.Tamin.Inv.,20211110,6220.00,6621.00,6220.00,6431.00,190229518580,29578207,5242,D,6306.00,6453.00
Saba.Tamin.Inv.,20211109,6330.00,6346.00,6200.00,6306.00,43747058541,6981614,1198,D,6331.00,6290.00
Saba.Tamin.Inv.,20211108,6212.00,6470.00,6165.00,6331.00,94986949538,15004907,2905,D,6335.00,6322.00
Saba.Tamin.Inv.,20211107,6475.00,6594.00,6202.00,6335.00,167732204496,26475405,5110,D,6528.00,6258.00
Saba.Tamin.Inv.,20211106,6330.00,6543.00,6330.00,6528.00,292110092524,44749113,4113,D,6232.00,6475.00
Saba.Tamin.Inv.,20211103,6111.00,6360.00,6021.00,6232.00,131703839100,21135092,3815,D,6076.00,6350.00
Saba.Tamin.Inv.,20211102,6080.00,6146.00,5931.00,6076.00,81755522264,13396593,3101,D,6000.00,6119.00
Saba.Tamin.Inv.,20211101,5900.00,6051.00,5900.00,6000.00,162272693991,27045617,3895,D,5763.00,5979.00
Saba.Tamin.Inv.,20211031,5997.00,5997.00,5715.00,5763.00,243044013772,42172133,4934,D,6015.00,5715.00
Saba.Tamin.Inv.,20211030,6150.00,6150.00,5925.00,6015.00,166914615044,27748552,4383,D,6088.00,5972.00
Saba.Tamin.Inv.,20211027,6100.00,6207.00,6018.00,6088.00,115345116791,18947565,3140,D,6095.00,6120.00
Saba.Tamin.Inv.,20211026,6020.00,6209.00,6020.00,6095.00,90784210501,14867323,2849,D,6043.00,6069.00
Saba.Tamin.Inv.,20211025,6028.00,6126.00,6000.00,6043.00,134538259033,22265189,3833,D,6126.00,6110.00
Saba.Tamin.Inv.,20211023,6292.00,6380.00,6040.00,6126.00,137203099043,22395168,3045,D,6288.00,6079.00
Saba.Tamin.Inv.,20211020,6350.00,6358.00,6200.00,6288.00,110252755831,17534708,2523,D,6294.00,6290.00
Saba.Tamin.Inv.,20211019,6280.00,6419.00,6280.00,6294.00,67785213117,10652478,2730,D,6193.00,6343.00
Saba.Tamin.Inv.,20211018,6140.00,6350.00,6100.00,6193.00,120953030173,19529158,3008,D,6281.00,6300.00
Saba.Tamin.Inv.,20211017,6588.00,6588.00,6100.00,6281.00,151550142723,24129050,4311,D,6356.00,6254.00
Saba.Tamin.Inv.,20211016,6395.00,6395.00,6320.00,6356.00,100389572432,15698528,1771,D,6091.00,6395.00
Saba.Tamin.Inv.,20211013,6140.00,6289.00,6000.00,6091.00,149448173222,24536706,3544,D,6161.00,6188.00
Saba.Tamin.Inv.,20211012,6397.00,6397.00,6109.00,6161.00,286615785627,46521035,5353,D,6430.00,6120.00
Saba.Tamin.Inv.,20211011,6520.00,6550.00,6375.00,6430.00,106867446103,16618965,3345,D,6428.00,6390.00
Saba.Tamin.Inv.,20211010,6490.00,6533.00,6322.00,6428.00,119151024548,18537131,3738,D,6575.00,6420.00
Saba.Tamin.Inv.,20211009,6731.00,6818.00,6472.00,6575.00,193109795656,29370462,4804,D,6757.00,6510.00
Saba.Tamin.Inv.,20211006,6700.00,6830.00,6690.00,6757.00,139313762759,20618760,3976,D,6779.00,6762.00
Saba.Tamin.Inv.,20211004,6860.00,6903.00,6700.00,6779.00,183216781686,27028658,4811,D,6827.00,6741.00
Saba.Tamin.Inv.,20211003,7000.00,7000.00,6760.00,6827.00,290189836670,42505479,4773,D,6978.00,6830.00
Saba.Tamin.Inv.,20211002,6940.00,7050.00,6850.00,6978.00,206106058729,29536951,4857,D,6824.00,6960.00
Saba.Tamin.Inv.,20210929,6755.00,6940.00,6700.00,6824.00,189980681269,27838634,5004,D,6873.00,6921.00
Saba.Tamin.Inv.,20210928,6949.00,7028.00,6780.00,6873.00,183147466691,26648445,5025,D,6997.00,6792.00
Saba.Tamin.Inv.,20210926,7230.00,7230.00,6870.00,6997.00,168189770688,24038550,5236,D,7065.00,6916.00
Saba.Tamin.Inv.,20210925,6920.00,7081.00,6920.00,7065.00,237471238134,33614447,4812,D,6744.00,7081.00
Saba.Tamin.Inv.,20210922,6900.00,6920.00,6552.00,6744.00,210233219912,31171961,6103,D,6728.00,6860.00
Saba.Tamin.Inv.,20210921,7090.00,7090.00,6704.00,6728.00,341962696302,50827934,6968,D,7056.00,6704.00
