<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
producing.CHDN,20220817,1788.00,1845.00,1788.00,1823.00,11303928333,6202826,278,D,1823.00,1825.00
producing.CHDN,20220816,1850.00,1879.00,1798.00,1823.00,19112498964,10484572,407,D,1821.00,1798.00
producing.CHDN,20220815,1809.00,1870.00,1800.00,1821.00,13744394402,7550067,404,D,1827.00,1860.00
producing.CHDN,20220814,1880.00,1880.00,1802.00,1827.00,9434911862,5182191,337,D,1837.00,1818.00
producing.CHDN,20220813,1747.00,1849.00,1747.00,1837.00,24090717958,13116898,492,D,1745.00,1849.00
producing.CHDN,20220810,1743.00,1761.00,1716.00,1745.00,6914066085,3959626,189,D,1744.00,1760.00
producing.CHDN,20220809,1743.00,1777.00,1726.00,1744.00,10693418330,6114922,317,D,1732.00,1732.00
producing.CHDN,20220806,1745.00,1786.00,1716.00,1732.00,7993795078,4546613,296,D,1705.00,1753.00
producing.CHDN,20220803,1735.00,1742.00,1700.00,1705.00,7015063218,4062074,264,D,1686.00,1720.00
producing.CHDN,20220802,1665.00,1715.00,1665.00,1686.00,16112215452,9558524,342,D,1663.00,1710.00
producing.CHDN,20220801,1650.00,1686.00,1650.00,1663.00,14124272403,8489939,375,D,1653.00,1680.00
producing.CHDN,20220731,1710.00,1710.00,1611.00,1653.00,8941747342,5475006,412,D,1685.00,1640.00
producing.CHDN,20220730,1710.00,1740.00,1649.00,1685.00,10279448375,6127844,377,D,1702.00,1652.00
producing.CHDN,20220727,1720.00,1761.00,1688.00,1702.00,7654911014,4474417,309,D,1692.00,1715.00
producing.CHDN,20220726,1780.00,1780.00,1670.00,1692.00,20230009507,11959673,511,D,1746.00,1680.00
producing.CHDN,20220725,1877.00,1877.00,1731.00,1746.00,29097026204,16662062,627,D,1841.00,1731.00
producing.CHDN,20220724,1863.00,1887.00,1816.00,1841.00,59127051754,32114647,424,D,1871.00,1818.00
producing.CHDN,20220723,1873.00,1899.00,1851.00,1871.00,18938772373,10123495,368,D,1865.00,1853.00
producing.CHDN,20220720,1867.00,1898.00,1840.00,1865.00,11368652090,6069096,403,D,1835.00,1889.00
producing.CHDN,20220719,1812.00,1876.00,1812.00,1835.00,8412627236,4596037,354,D,1842.00,1832.00
producing.CHDN,20220717,1856.00,1884.00,1824.00,1842.00,10669575943,5813872,336,D,1862.00,1824.00
producing.CHDN,20220716,1903.00,1930.00,1820.00,1862.00,12767494096,6884298,522,D,1918.00,1835.00
producing.CHDN,20220713,1888.00,1999.00,1888.00,1918.00,5553117806,2855308,195,D,1901.00,1931.00
producing.CHDN,20220709,2050.00,2055.00,1961.00,2001.00,22880587131,11437170,673,D,2053.00,1987.00
producing.CHDN,20220706,2036.00,2080.00,2021.00,2053.00,8289451219,4046643,376,D,2059.00,2029.00
producing.CHDN,20220705,2050.00,2084.00,2032.00,2059.00,15952238127,7748148,436,D,2033.00,2050.00
producing.CHDN,20220704,2010.00,2090.00,1998.00,2033.00,13340446523,6554845,371,D,2011.00,2030.00
producing.CHDN,20220703,2030.00,2049.00,2000.00,2011.00,18276788579,9087444,532,D,2030.00,2019.00
producing.CHDN,20220702,2060.00,2060.00,2011.00,2030.00,18886592297,9303950,430,D,2064.00,2040.00
producing.CHDN,20220629,2030.00,2100.00,2030.00,2064.00,17104724321,8288215,388,D,2064.00,2080.00
producing.CHDN,20220628,2011.00,2118.00,2011.00,2064.00,30673668376,14863543,485,D,2024.00,2050.00
producing.CHDN,20220627,2030.00,2071.00,1980.00,2024.00,16895427570,8348377,416,D,2027.00,2020.00
producing.CHDN,20220626,2035.00,2123.00,2000.00,2027.00,15443027343,7617248,482,D,2095.00,2040.00
producing.CHDN,20220625,2117.00,2133.00,2030.00,2095.00,17500743828,8351809,449,D,2078.00,2051.00
producing.CHDN,20220622,2054.00,2120.00,2052.00,2078.00,14982548591,7211747,478,D,2085.00,2117.00
producing.CHDN,20220621,2147.00,2149.00,2053.00,2085.00,13687711331,6569448,364,D,2115.00,2097.00
producing.CHDN,20220620,2131.00,2185.00,2076.00,2115.00,31098152249,14706544,580,D,2109.00,2090.00
producing.CHDN,20220619,2117.00,2144.00,2050.00,2109.00,32923561751,15607699,534,D,2118.00,2100.00
producing.CHDN,20220618,2150.00,2233.00,2070.00,2118.00,29913076016,14126102,714,D,2200.00,2080.00
producing.CHDN,20220615,2240.00,2240.00,2183.00,2200.00,7731591579,3515475,283,D,2200.00,2200.00
producing.CHDN,20220614,2195.00,2258.00,2160.00,2200.00,18418585918,8372308,481,D,2194.00,2200.00
producing.CHDN,20220613,2129.00,2240.00,2129.00,2194.00,16341573716,7446850,540,D,2119.00,2136.00
producing.CHDN,20220612,2100.00,2160.00,2023.00,2119.00,20933470690,9876963,435,D,2102.00,2160.00
producing.CHDN,20220611,2157.00,2157.00,2050.00,2102.00,18880660111,8982279,537,D,2096.00,2090.00
producing.CHDN,20220608,2099.00,2136.00,2050.00,2096.00,22439235624,10706003,472,D,2097.00,2110.00
producing.CHDN,20220607,2007.00,2150.00,2007.00,2097.00,21671410346,10336814,538,D,2098.00,2081.00
producing.CHDN,20220606,2173.00,2230.00,2084.00,2098.00,43834804104,20894387,957,D,2216.00,2089.00
producing.CHDN,20220601,2172.00,2264.00,2172.00,2216.00,24107170444,10877920,728,D,2217.00,2204.00
producing.CHDN,20220531,2222.00,2278.00,2150.00,2217.00,31863450766,14372563,634,D,2243.00,2210.00
producing.CHDN,20220530,2240.00,2341.00,2201.00,2243.00,31463679599,14029391,637,D,2236.00,2257.00
producing.CHDN,20220529,2281.00,2356.00,2218.00,2236.00,57488336860,25711920,1003,D,2359.00,2240.00
producing.CHDN,20220528,2420.00,2477.00,2296.00,2359.00,38197658863,16189490,811,D,2421.00,2300.00
producing.CHDN,20220525,2382.00,2478.00,2380.00,2421.00,37875650798,15642145,856,D,2424.00,2416.00
producing.CHDN,20220524,2417.00,2505.00,2361.00,2424.00,45310558331,18691774,987,D,2501.00,2370.00
producing.CHDN,20220523,2430.00,2540.00,2392.00,2501.00,191730427721,76660544,2370,D,2397.00,2454.00
producing.CHDN,20220522,2350.00,2427.00,2350.00,2397.00,42198716055,17606386,753,D,2390.00,2370.00
producing.CHDN,20220521,2401.00,2460.00,2350.00,2390.00,40582412918,16980560,771,D,2447.00,2351.00
producing.CHDN,20220518,2504.00,2509.00,2355.00,2447.00,34909563115,14267293,770,D,2505.00,2457.00
producing.CHDN,20220517,2577.00,2617.00,2433.00,2505.00,47981598255,19152161,1226,D,2540.00,2455.00
producing.CHDN,20220516,2600.00,2600.00,2491.00,2540.00,55315201039,21778366,1219,D,2573.00,2535.00
producing.CHDN,20220515,2669.00,2669.00,2461.00,2573.00,72993358914,28373712,1368,D,2540.00,2550.00
producing.CHDN,20220514,2560.00,2562.00,2451.00,2540.00,130348788270,51323616,1957,D,2417.00,2562.00
producing.CHDN,20220511,2350.00,2451.00,2320.00,2417.00,53636307005,22194744,1000,D,2313.00,2451.00
producing.CHDN,20220510,2293.00,2354.00,2280.00,2313.00,47047407662,20340916,1142,D,2359.00,2309.00
producing.CHDN,20220509,2450.00,2450.00,2284.00,2359.00,46012362172,19506923,1404,D,2412.00,2324.00
producing.CHDN,20220508,2368.00,2450.00,2367.00,2412.00,68406477096,28366074,1080,D,2392.00,2420.00
producing.CHDN,20220507,2477.00,2490.00,2365.00,2392.00,60546543648,25309874,1244,D,2419.00,2390.00
producing.CHDN,20220502,2380.00,2455.00,2367.00,2419.00,48527868600,20057508,1107,D,2328.00,2425.00
producing.CHDN,20220501,2330.00,2380.00,2294.00,2328.00,39905398869,17141166,984,D,2372.00,2347.00
producing.CHDN,20220430,2425.00,2425.00,2347.00,2372.00,40506116678,17073544,1056,D,2365.00,2347.00
producing.CHDN,20220427,2380.00,2432.00,2326.00,2365.00,95286565181,40290683,1607,D,2388.00,2388.00
producing.CHDN,20220426,2322.00,2420.00,2322.00,2388.00,52045216586,21797762,995,D,2322.00,2399.00
producing.CHDN,20220425,2270.00,2370.00,2260.00,2322.00,45161550637,19445547,1069,D,2307.00,2328.00
producing.CHDN,20220424,2413.00,2420.00,2268.00,2307.00,34158404849,14808354,1133,D,2362.00,2299.00
producing.CHDN,20220420,2353.00,2424.00,2312.00,2362.00,60355924382,25552593,1338,D,2385.00,2385.00
producing.CHDN,20220419,2339.00,2440.00,2298.00,2385.00,168227819245,70536467,2836,D,2307.00,2370.00
producing.CHDN,20220418,2246.00,2309.00,2202.00,2307.00,239428452952,103796784,1329,D,2179.00,2309.00
producing.CHDN,20220417,2249.00,2249.00,2150.00,2179.00,55638905863,25537298,858,D,2202.00,2184.00
producing.CHDN,20220416,2160.00,2232.00,2132.00,2202.00,39057264743,17739916,870,D,2127.00,2186.00
producing.CHDN,20220413,2072.00,2183.00,2072.00,2127.00,38645737792,18171716,1022,D,2181.00,2170.00
producing.CHDN,20220412,2183.00,2289.00,2176.00,2181.00,29814861914,13672536,657,D,2290.00,2176.00
producing.CHDN,20220411,2359.00,2359.00,2220.00,2290.00,49876800382,21779709,1283,D,2271.00,2240.00
producing.CHDN,20220410,2185.00,2278.00,2184.00,2271.00,81982617996,36097199,1356,D,2170.00,2278.00
producing.CHDN,20220409,2125.00,2209.00,2090.00,2170.00,31363862488,14452337,815,D,2141.00,2191.00
producing.CHDN,20220406,2050.00,2160.00,2050.00,2141.00,88086890565,41140259,1607,D,2058.00,2121.00
producing.CHDN,20220405,2065.00,2088.00,2040.00,2058.00,36862997044,17907978,820,D,2092.00,2070.00
producing.CHDN,20220404,2179.00,2209.00,2043.00,2092.00,51384386298,24558069,1423,D,2149.00,2050.00
producing.CHDN,20220403,2041.00,2155.00,2041.00,2149.00,89800199424,41785206,1200,D,2053.00,2155.00
producing.CHDN,20220330,2000.00,2085.00,1990.00,2053.00,19082122045,9293611,681,D,2028.00,2075.00
producing.CHDN,20220329,2064.00,2090.00,1980.00,2028.00,31822843364,15692459,1038,D,2041.00,2014.00
producing.CHDN,20220328,1970.00,2056.00,1962.00,2041.00,66639200134,32652667,1135,D,1959.00,2056.00
producing.CHDN,20220327,1950.00,1980.00,1915.00,1959.00,26441607443,13498038,803,D,1966.00,1966.00
producing.CHDN,20220326,1974.00,2028.00,1937.00,1966.00,27901149724,14195162,617,D,1935.00,1952.00
